Result Time,Granularity Period,Object Name,Reliability,"L.Thrp.bits.DL","L.Thrp.bits.DL.LastTTI","L.Thrp.bits.DL.Max","L.Thrp.bits.DL.QCI.1","L.Thrp.bits.DL.QCI.1.Max","L.Thrp.bits.DL.QCI.2","L.Thrp.bits.DL.QCI.2.Max","L.Thrp.bits.DL.QCI.3","L.Thrp.bits.DL.QCI.3.Max","L.Thrp.bits.DL.QCI.4","L.Thrp.bits.DL.QCI.4.Max","L.Thrp.bits.DL.QCI.5","L.Thrp.bits.DL.QCI.5.Max","L.Thrp.bits.DL.QCI.6","L.Thrp.bits.DL.QCI.65","L.Thrp.bits.DL.QCI.66","L.Thrp.bits.DL.QCI.69","L.Thrp.bits.DL.QCI.6.Max","L.Thrp.bits.DL.QCI.7","L.Thrp.bits.DL.QCI.70","L.Thrp.bits.DL.QCI.7.Max","L.Thrp.bits.DL.QCI.8","L.Thrp.bits.DL.QCI.8.Max","L.Thrp.bits.DL.QCI.9","L.Thrp.bits.DL.QCI.9.Max","L.Thrp.bits.UE.UL.LastTTI","L.Thrp.bits.UL","L.Thrp.bits.UL.Max","L.Thrp.bits.UL.QCI.1","L.Thrp.bits.UL.QCI.1.Max","L.Thrp.bits.UL.QCI.2","L.Thrp.bits.UL.QCI.2.Max","L.Thrp.bits.UL.QCI.3","L.Thrp.bits.UL.QCI.3.Max","L.Thrp.bits.UL.QCI.4","L.Thrp.bits.UL.QCI.4.Max","L.Thrp.bits.UL.QCI.5","L.Thrp.bits.UL.QCI.5.Max","L.Thrp.bits.UL.QCI.6","L.Thrp.bits.UL.QCI.65","L.Thrp.bits.UL.QCI.66","L.Thrp.bits.UL.QCI.69","L.Thrp.bits.UL.QCI.6.Max","L.Thrp.bits.UL.QCI.7","L.Thrp.bits.UL.QCI.70","L.Thrp.bits.UL.QCI.7.Max","L.Thrp.bits.UL.QCI.8","L.Thrp.bits.UL.QCI.8.Max","L.Thrp.bits.UL.QCI.9","L.Thrp.bits.UL.QCI.9.Max","L.Thrp.Time.Cell.DL.HighPrecision","L.Thrp.Time.Cell.UL.HighPrecision","L.Thrp.Time.DL","L.Thrp.Time.DL.QCI.1","L.Thrp.Time.DL.QCI.2","L.Thrp.Time.DL.QCI.3","L.Thrp.Time.DL.QCI.4","L.Thrp.Time.DL.QCI.5","L.Thrp.Time.DL.QCI.6","L.Thrp.Time.DL.QCI.65","L.Thrp.Time.DL.QCI.66","L.Thrp.Time.DL.QCI.69","L.Thrp.Time.DL.QCI.7","L.Thrp.Time.DL.QCI.70","L.Thrp.Time.DL.QCI.8","L.Thrp.Time.DL.QCI.9","L.Thrp.Time.DL.RmvLastTTI","L.Thrp.Time.UE.UL.RmvLastTTI","L.Thrp.Time.UL","L.Thrp.Time.UL.QCI.1","L.Thrp.Time.UL.QCI.2","L.Thrp.Time.UL.QCI.3","L.Thrp.Time.UL.QCI.4","L.Thrp.Time.UL.QCI.5","L.Thrp.Time.UL.QCI.6","L.Thrp.Time.UL.QCI.65","L.Thrp.Time.UL.QCI.66","L.Thrp.Time.UL.QCI.69","L.Thrp.Time.UL.QCI.7","L.Thrp.Time.UL.QCI.70","L.Thrp.Time.UL.QCI.8","L.Thrp.Time.UL.QCI.9"
,Minutes,,,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,bit,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms,ms
2022-07-22 02:00+09:00,15,"ZZP003_PAB0939_HV_KASI_INDAH/Cell:eNodeB Function Name=ZZP003_PAB0939_HV_KASI_INDAH, Local Cell ID=22, Cell Name=ZZP003MT1_PAB0939_HV_KASI_INDAH_MT02, eNodeB ID=1041003, Cell FDD TDD indication=CELL_FDD",Reliable,1970113208,484929816,4304171,0,0,0,0,0,0,0,0,0,0,1360713720,0,0,0,3752596,832,0,830,609398656,3834274,0,0,34119216,148772448,678971,0,0,0,0,0,0,0,0,0,0,109835608,0,0,0,516425,160,0,47,38936680,600811,0,0,438275,188997,445951,0,0,0,0,0,385557,0,0,0,11,0,60383,0,401055,128942,196819,0,0,0,0,0,143598,0,0,0,10,0,53211,0
2022-07-22 02:00+09:00,15,"ZZP003_PAB0939_HV_KASI_INDAH/Cell:eNodeB Function Name=ZZP003_PAB0939_HV_KASI_INDAH, Local Cell ID=12, Cell Name=ZZP003MT1_PAB0939_HV_KASI_INDAH_MT01, eNodeB ID=1041003, Cell FDD TDD indication=CELL_FDD",Reliable,324246504,210160416,2320997,0,0,0,0,0,0,0,0,0,0,318774592,0,0,0,2320997,0,0,0,5471912,882931,0,0,13450008,47062696,378216,0,0,0,0,0,0,0,0,0,0,46583144,0,0,0,378216,0,0,0,479552,98771,0,0,41478,39774,35056,0,0,0,0,0,34424,0,0,0,0,0,632,0,12395,19480,40158,0,0,0,0,0,39783,0,0,0,0,0,375,0
2022-07-22 02:00+09:00,15,"ZZP002_PAB0401_HV_ISEREN/Cell:eNodeB Function Name=ZZP002_PAB0401_HV_ISEREN, Local Cell ID=22, Cell Name=ZZP002MT1_PAB0401_HV_ISEREN_MT02, eNodeB ID=1041002, Cell FDD TDD indication=CELL_FDD",Reliable,3301033024,1664791208,7318083,0,0,0,0,0,0,0,0,0,0,102044056,0,0,0,2350329,2304,0,830,3198986664,7318083,0,0,62357480,129244320,435345,0,0,0,0,0,0,0,0,0,0,10619304,0,0,0,114447,0,0,0,118625016,399393,0,0,296481,127420,243536,0,0,0,0,0,9854,0,0,0,5,0,233677,0,119000,53738,130471,0,0,0,0,0,10752,0,0,0,0,0,119719,0
2022-07-22 02:00+09:00,15,"ZZP002_PAB0401_HV_ISEREN/Cell:eNodeB Function Name=ZZP002_PAB0401_HV_ISEREN, Local Cell ID=12, Cell Name=ZZP002MT1_PAB0401_HV_ISEREN_MT01, eNodeB ID=1041002, Cell FDD TDD indication=CELL_FDD",Reliable,6787208,3976416,294154,0,0,0,0,33440,10710,0,0,0,0,300048,0,0,0,80031,6453720,0,294154,0,0,0,0,495752,75491608,1579672,0,0,0,0,0,0,0,0,0,0,199848,0,0,0,22519,75286032,0,1579672,5728,1948,0,0,5690,42988,5231,0,0,16,0,0,213,0,0,0,5002,0,0,0,780,41861,42990,0,0,0,0,0,1223,0,0,0,41731,0,36,0
2022-07-22 02:00+09:00,15,"ZZP001_PAB0410_HV_SIRESI/Cell:eNodeB Function Name=ZZP001_PAB0410_HV_SIRESI, Local Cell ID=22, Cell Name=ZZP001MT1_PAB0410_HV_SIRESI_MT02, eNodeB ID=1041001, Cell FDD TDD indication=CELL_FDD",Reliable,4069938784,819667376,10756223,0,0,0,0,0,0,0,0,50160,25165,1095387976,0,0,0,6895640,9624896,0,635489,2964875752,8887473,0,0,87311632,281925656,1265004,0,0,0,0,0,0,0,0,51112,18251,60424056,0,0,0,755113,5396264,0,230112,216054224,1211624,0,0,478718,209496,905184,0,0,0,0,28,338205,0,0,0,19334,0,547617,0,822594,135088,235117,0,0,0,0,39,66485,0,0,0,15546,0,153047,0
2022-07-22 02:00+09:00,15,"ZZP001_PAB0410_HV_SIRESI/Cell:eNodeB Function Name=ZZP001_PAB0410_HV_SIRESI, Local Cell ID=12, Cell Name=ZZP001MT1_PAB0410_HV_SIRESI_MT01, eNodeB ID=1041001, Cell FDD TDD indication=CELL_FDD",Reliable,32847264,28004824,669674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32847264,669674,0,0,13827200,19916840,335012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19916840,335012,0,0,24846,24647,23476,0,0,0,0,0,0,0,0,0,0,0,23476,0,999,4225,24647,0,0,0,0,0,0,0,0,0,0,0,24647,0
2022-07-22 02:00+09:00,15,"ZZP289_PAB0794_HV_TUT/Cell:eNodeB Function Name=ZZP289_PAB0794_HV_TUT, Local Cell ID=22, Cell Name=ZZP289MT1_PAB0794_HV_TUT_MT02, eNodeB ID=1041289, Cell FDD TDD indication=CELL_FDD",Reliable,1771064,1200344,329636,0,0,0,0,0,0,0,0,0,0,1628712,0,0,0,329636,0,0,0,142352,9254,0,0,1745664,4258184,82921,0,0,0,0,0,0,0,0,0,0,616640,0,0,0,73373,0,0,0,3641544,37124,0,0,659,3774,618,0,0,0,0,0,403,0,0,0,0,0,215,0,44,1863,3777,0,0,0,0,0,611,0,0,0,0,0,3166,0
2022-07-22 02:00+09:00,15,"ZZP289_PAB0794_HV_TUT/Cell:eNodeB Function Name=ZZP289_PAB0794_HV_TUT, Local Cell ID=12, Cell Name=ZZP289MT1_PAB0794_HV_TUT_MT01, eNodeB ID=1041289, Cell FDD TDD indication=CELL_FDD",Reliable,11034848,2982296,1252425,0,0,0,0,0,0,0,0,0,0,1777456,0,0,0,205429,0,0,0,9257392,1252425,0,0,16399616,36849096,146370,0,0,0,0,0,0,0,0,0,0,36081248,0,0,0,145628,0,0,0,767848,99744,0,0,2901,14628,2918,0,0,0,0,0,1642,0,0,0,0,0,1276,0,1020,7707,14654,0,0,0,0,0,13826,0,0,0,0,0,828,0
2022-07-22 02:00+09:00,15,"ZZP093_PAB0144_HV_MALASIGIT/Cell:eNodeB Function Name=ZZP093_PAB0144_HV_MALASIGIT, Local Cell ID=22, Cell Name=ZZP093MT1_PAB0144_HV_MALASIGIT_MT02, eNodeB ID=1041093, Cell FDD TDD indication=CELL_FDD",Reliable,452428008,52778080,4309596,0,0,0,0,0,0,0,0,0,0,203488896,0,0,0,4055033,0,0,0,248939112,4308271,0,0,11752272,40157928,643369,0,0,0,0,0,0,0,0,0,0,16195040,0,0,0,440752,0,0,0,23962888,567481,0,0,64187,27718,79103,0,0,0,0,0,26766,0,0,0,0,0,52337,0,72326,13890,27987,0,0,0,0,0,9130,0,0,0,0,0,18857,0
